Notes,Category,Key,Author,Title,Journal,Year,PDF,PPT/sound/photos,Awards/Honors
,Miscellaneous,,"William Ribarsky, Edd Hauser, Shen-en Chen, Bill Tolone, Seok-won Lee, Remco Chang, Wanqiu Liu, Rashna Vatcha, Xiaoyu Wang",Poster: Integrated Remote Sensing and Visualization (IRSV) System for Transportation Infrastructure Operations and Management,Poster at the 88th annual Transportation Research Board (TRB),2009,Yes,TRB Poster,--
,Journal,,"Thomas Butkiewicz, Wenwen Dou, Zachary Wartell, William Ribarsky, Remco Chang",Multi-Focused Geospatial Analysis Using Probes,InfoVis 2008 (IEEE Transactions on Visualization and Computer Graphics),2008,Yes,Yes (avi) (mov),--
,Journal,,"Dong Hyun Jeong, Chang G. Song, Remco Chang, Larry Hodges",User Experimentation: An Evaluation of Velocity Control Techniques in Immersive Virtual Environments,Virtual Reality (Springer),2008,Yes,--,--
,Journal,,"Thomas Butkiewicz, Remco Chang, Zachary Wartell, William Ribarsky",Visual Analysis of Urban Change,Journal of Computer Graphics Forum (Eurovis 2008),2008,Yes,"Talk at Eurovis, Yes (swf)",--
,Journal,,"Xiaoyu Wang, Erin Miller, Kathleen Smarick, William Ribarsky, Remco Chang",Investigative Visual Analysis of Global Terrorism Database,Journal of Computer Graphics Forum (Eurovis 2008),2008,Yes,Talk at Eurovis,--
,Journal,,"Remco Chang, Alvin Lee, Mohammad Ghoniem, Robert Kosara, William Ribarsky, Jing Yang, Evan Suma, Caroline Ziemkiewicz, Daniel Kern, Agus Sudjianto",Scalable and Interactive Visual Analysis of Financial Wire Transactions for Fraud Detection,Journal of Information Visualization (IVS),2008,Yes,--,--
,Journal,,"Remco Chang, Thomas Butkiewicz, Caroline Ziemkiewicz, Zachary Wartell, Nancy Pollard, William Ribarsky",Legible Simplification of Textured Urban Models,IEEE Computer Graphics and Applications (CG&A) Issue on Procedural Methods for Urban Modeling,2008,Yes,Yes (mp4),--
,Conference,,"Dong Hyun Jeong, Remco Chang, William Ribarsky",An Alternative Definition and Model for Knowledge Visualization,IEEE Visualization 2008 Workshop on Knowledge Assisted Visualization,2008,Yes,--,--
,Conference,,"Xiaoyu Wang, Wenwen Dou, Seok-won Lee, William Ribarsky, Remco Chang",Integrating Visual Analysis with Ontological Knowledge Structure,IEEE Visualization 2008 Workshop on Knowledge Assisted Visualization,2008,Yes,--,--
,Conference,,"Ginette Wessel, Remco Chang, Eric Sauda","Towards a New (Mapping of the) City: Interactive, Data Rich Modes of Urban Legibility Visual Analysis with Ontological Knowledge Structure",ACADIA (Association for Computer Aided Design in Architecture) 2008.,2008,Yes,--,--
,Conference,,"Dong Hyun Jeong, Wenwen Dou, Felesia Stukes, William Ribarsky, Heather Richter Lipford, Remco Chang",Evaluating the Relationship Between User Interaction and Financial Visual Analysis,IEEE Visual Analytics Science and Technology (VAST) 2008,2008,Yes,"Talk at VAST, Yes (avi)",--
,Conference,,"Ginette Wessel, Remco Chang, Eric Sauda",Visualizing GIS: Urban Form and Data Structure,96th Annual Conference of Association of Collegiate Schools of Architecture (ACSA),2008,Yes,--,--
,Conference,,"Ginette Wessel, Remco Chang, Eric Sauda",Alternative Computer-Based Urban Visualization Models,Computer Aided Architectural Design in Asia (CAADRIA) 2008,2008,Yes,--,--
,Conference,,"Tom Butkiewicz, Remco Chang, Zachary Wartell, William Ribarsky",Visual Analysis for Live LIDAR Battlefield Change Detection,SPIE Defense and Security Symposium 2008,2008,Yes,--,--
,Conference,,"Josh Jones, Remco Chang, Thomas Butkiewicz, William Ribarsky",Visualizing Uncertainty for Geographical Information in Global Terrorism Database,SPIE Defense and Security Symposium 2008,2008,Yes,--,--
,Conference,,"Alex Godwin, Remco Chang, Robert Kosara, William Ribarsky",Visual Analysis of Entity Relationships in Global Terrorism Database,SPIE Defense and Security Symposium 2008,2008,Yes,--,--
,Miscellaneous,,"Alex Godwin, Remco Chang, Robert Kosara, William Ribarsky",Poster: Interactive Poster: Visual Data Mining of Unevenly-Spaced Event Sequences,IEEE Symposium on Visual Analytics 2008 Interactive Poster,2008,Yes,--,Best Poster Award
,Miscellaneous,,"Ginette Wessel, Remco Chang, Eric Sauda",User-Centric Mapping,SIGGRAPH 2008 Late Breaking Work,2008,Yes,--,--
,Miscellaneous,,"Caroline Ziemkiewicz, Xiaoyu Wang, Alex Godwin, Wenwen Dou, Remco Chang, Robert Kosara, William Ribarsky",Poster: Global Terrorism Visualization,Student Poster Session at DHS University Network Summit,2008,Yes,--,--
,Book Chapter,,"Thomas Butkiewicz, Remco Chang, William Ribarsky, and Zachary Wartell",Visual Analysis of Urban Terrain Dynamics,"Understanding Dynamics of Geographic Domains ed: May Yuan, Kathleen S. Hornsby. CRC Press/Taylor and Francis. 2007",2007,Yes,--,--
,Journal,,"Remco Chang, Ginette Wessel, Robert Kosara, Eric Sauda, William Ribarsky",Legible Cities: Focus-Dependent Multi-Resolution Visualization of Urban Relationships,InfoVis 2007 (IEEE Transactions on Visualization and Computer Graphics),2007,Yes,"Talk at InfoVis07, Yes (mp4), Featured on the backcover of TVCG (jpg)",--
,Conference,,"Remco Chang, Mohammad Ghoniem, Robert Kosara, William Ribarsky, Jing Yang, Evan Suma, Caroline Ziemkiewicz, Daniel Kern, Agus Sudjianto","WireVis: Visualization of Categorical, Time-Varying Data From Financial Transactions",IEEE Visual Analytics Science and Technology (VAST) 2007.,2007,Yes + <see honors>,"Talk at VAST 07, Yes (wmv)","Honorable Mention Best Paper,  Project was featured in November 2007 issue of NVAC's VAC Views (pdf)"
,Conference,,"Thomas Butkiewicz, Remco Chang, Zachary Wartell, William Ribarsky",Analyzing Sampled Terrain Volumetrically with Regard to Error and Geologic Variation,SPIE Visualization and Data Analysis (VDA) 2007,2007,Yes,--,--
,Miscellaneous,,"Remco Chang, Thomas Butkiewicz, Caroline Ziemkiewicz, Zachary Wartell, Nancy Pollard, William Ribarsky",Hierarchical Simplification of City Models to Maintain Urban Legibility,ACM SIGGRAPH 2006 Technical Sketch,2006,Yes,"Talk at SIGGRAPH, Yes (mp4)",--
,Miscellaneous,,Remco Chang,Volume Deformation Techniques,"Master's Thesis. Brown University, 2000",2000,Yes,--,--
